[size=4][b]Flake [AltLo1][/B][/SIZE][spoiler=Show AltLo1 Orbits][code]

              Altitude                Inc.       Orbital   Time to Scan          Eff.  Swath  Resolution
  UEQx Sidelap  Ideal     +/- Error               Period      Total    +/- Error  FOV   Width (deg)   (km)
====================================================================================================================
    59    28 (1.02)   15.905 km +/- 0.01 km (0.00°)  38h 31.7m   539h 24.4m +/- 25.8m (1.7°)  13 m (0.07°) 2.30 m
    61    29 (1.06)   15.879 km +/- 0.01 km (0.00°)  38h 26.8m   557h 28.6m +/- 23.9m (1.7°)  13 m (0.07°) 2.29 m
    65    31 (1.12)   15.828 km +/- 0.01 km (0.00°)  38h 17.0m   593h 24.0m +/- 22.5m (1.6°)  13 m (0.07°) 2.28 m
    67    32 (1.16)   15.806 km +/- 0.01 km (0.00°)  38h 13.0m   611h 27.6m +/- 21.6m (1.6°)  13 m (0.07°) 2.27 m
    71    34 (1.22)   15.764 km +/- 0.01 km (0.00°)  38h 05.0m   647h 24.3m +/- 19.7m (1.6°)  13 m (0.06°) 2.26 m
    60    29 (1.02)   15.620 km +/- 0.01 km (0.00°)  37h 37.2m   545h 29.8m +/- 18.1m (1.6°)  13 m (0.06°) 2.22 m
    64    31 (1.09)   15.587 km +/- 0.01 km (0.00°)  37h 30.9m   581h 28.8m +/- 17.9m (1.6°)  13 m (0.06°) 2.21 m
    68    33 (1.16)   15.558 km +/- 0.01 km (0.00°)  37h 25.4m   617h 29.4m +/- 15.8m (1.6°)  13 m (0.06°) 2.20 m
    72    35 (1.22)   15.532 km +/- 0.00 km (0.00°)  37h 20.4m   653h 27.6m +/- 15.1m (1.6°)  13 m (0.06°) 2.19 m
    61    30 (1.02)   15.352 km +/- 0.01 km (0.00°)  36h 45.8m   551h 27.3m +/- 22.9m (1.6°)  12 m (0.06°) 2.14 m
